Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i1024-o1024.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i1024-o256.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i1024-o4096.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i1024-o64.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i256-o1024.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i256-o256.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i256-o4096.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i256-o64.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i4096-o1024.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i4096-o256.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i4096-o4096.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i4096-o64.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i64-o1024.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i64-o256.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i64-o4096.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i64-o64.json
GuideLLM data not in json output format, Trying CSV ...
Optimization completed. Objective value: 3.006843
  rps 	 inToken 	 outToken 	 TTFTMeas 	 TTFTPred 	 ITLMeas 	 ITLPred 	
 24.96 	  1029.54 	    64.44 	    42.08 	    63.75 	    17.40 	    21.36 	 
 28.70 	  1029.40 	    64.40 	    48.58 	    80.84 	    25.14 	    29.91 	 
  0.15 	   239.85 	   973.89 	    17.90 	    18.65 	     6.75 	     6.88 	 
  1.43 	   251.25 	  1020.30 	    23.73 	    20.16 	     7.62 	     7.52 	 
  2.70 	   261.50 	  1028.43 	    24.05 	    21.95 	     8.27 	     8.31 	 
  3.98 	   257.86 	  1029.87 	    25.46 	    23.77 	     9.07 	     9.25 	 
  5.23 	   256.00 	  1029.00 	    28.05 	    26.03 	    10.25 	    10.41 	 
  6.46 	   258.74 	  1029.39 	    31.34 	    29.07 	    11.70 	    11.90 	 
  7.67 	   256.15 	  1026.44 	    34.86 	    32.68 	    13.37 	    13.73 	 
  8.82 	   258.19 	  1025.15 	    41.96 	    37.68 	    16.50 	    16.20 	 
  0.56 	   250.66 	   252.15 	    16.20 	    18.85 	     7.06 	     6.86 	 
  5.96 	   256.23 	   255.93 	    20.77 	    20.24 	     7.62 	     7.50 	 
 11.36 	   257.53 	   257.93 	    22.15 	    21.83 	     8.20 	     8.28 	 
 16.78 	   257.00 	   256.93 	    24.15 	    23.70 	     9.06 	     9.22 	 
 22.15 	   257.62 	   257.98 	    26.08 	    26.13 	    10.10 	    10.43 	 
 27.52 	   257.08 	   257.36 	    28.63 	    29.15 	    11.55 	    11.94 	 
 32.83 	   256.92 	   257.08 	    32.38 	    33.18 	    13.50 	    13.96 	 
 38.18 	   257.21 	   257.50 	    41.11 	    39.07 	    17.95 	    16.89 	 
  0.03 	   206.45 	  4410.27 	    20.87 	    18.29 	     6.78 	     7.13 	 
  0.16 	   270.47 	  4193.09 	    28.35 	    20.79 	     7.46 	     7.71 	 
  0.29 	   255.35 	  4024.63 	    31.57 	    21.60 	     8.31 	     8.27 	 
  0.41 	   270.40 	  4143.72 	    31.39 	    23.62 	     9.12 	     9.12 	 
  0.54 	   254.60 	  4104.17 	    32.29 	    24.98 	    10.12 	     9.97 	 
  0.65 	   257.28 	  4073.98 	    34.45 	    26.79 	    11.03 	    10.84 	 
  0.75 	   263.56 	  4037.34 	    35.58 	    28.73 	    12.31 	    11.75 	 
  0.87 	   249.37 	  3982.95 	    36.23 	    30.75 	    13.31 	    12.90 	 
  2.35 	   258.20 	    63.27 	    16.47 	    19.20 	     6.54 	     6.98 	 
 14.92 	   257.37 	    64.30 	    20.00 	    20.71 	     7.28 	     7.74 	 
 27.48 	   257.09 	    64.48 	    20.71 	    22.60 	     7.94 	     8.69 	 
 40.03 	   257.34 	    64.42 	    21.51 	    25.03 	     8.67 	     9.91 	 
 52.58 	   257.41 	    64.42 	    22.91 	    28.24 	     9.74 	    11.51 	 
 65.12 	   257.01 	    64.36 	    24.44 	    32.60 	    11.15 	    13.69 	 
 77.64 	   257.18 	    64.44 	    30.96 	    39.09 	    14.23 	    16.94 	 
 89.97 	   257.24 	    64.38 	    46.96 	    49.31 	    23.09 	    22.05 	 
  0.14 	  3773.16 	   981.76 	   103.76 	    93.41 	     7.00 	     7.58 	 
  0.41 	  4153.06 	  1049.78 	   124.77 	   103.22 	     8.02 	     8.53 	 
  0.68 	  4138.22 	  1025.22 	   126.89 	   104.85 	     9.15 	     9.50 	 
  0.94 	  4139.04 	  1037.73 	   125.48 	   107.51 	    10.47 	    10.82 	 
  1.20 	  4030.76 	  1005.02 	   122.96 	   107.81 	    11.79 	    12.10 	 
  1.46 	  4120.90 	  1033.00 	   131.55 	   114.79 	    14.20 	    14.66 	 
  1.70 	  4104.12 	  1010.26 	   131.68 	   119.27 	    16.46 	    17.07 	 
  1.94 	  4069.00 	  1039.44 	   136.72 	   127.75 	    20.69 	    21.67 	 
  0.54 	  4001.26 	   251.60 	   108.65 	    99.03 	     6.89 	     8.12 	 
  1.18 	  4084.83 	   261.47 	   117.85 	   102.70 	     8.02 	     9.09 	 
  1.81 	  4122.14 	   253.22 	   117.78 	   105.82 	     9.22 	    10.27 	 
  2.44 	  4054.31 	   260.10 	   115.73 	   107.29 	    10.84 	    11.70 	 
  3.07 	  4144.60 	   257.26 	   122.88 	   113.50 	    12.81 	    13.87 	 
  3.70 	  4142.44 	   259.57 	   124.24 	   119.16 	    15.51 	    16.72 	 
  4.31 	  4090.19 	   255.14 	   124.11 	   125.11 	    19.16 	    20.24 	 
  4.92 	  4104.09 	   256.29 	   130.55 	   138.25 	    26.35 	    26.66 	 
  0.03 	  3308.45 	  4410.27 	    89.55 	    83.77 	     6.95 	     7.64 	 
  0.08 	  4153.93 	  3972.52 	   125.61 	   102.73 	     7.63 	     8.32 	 
  0.14 	  4023.51 	  4058.55 	   117.35 	   101.58 	     8.44 	     9.10 	 
  0.18 	  4346.92 	  3997.56 	   132.02 	   110.07 	     9.50 	     9.99 	 
  0.23 	  4260.18 	  4306.02 	   136.13 	   111.36 	    11.01 	    11.54 	 
  0.28 	  4130.44 	  4040.95 	   129.25 	   109.63 	    11.61 	    12.02 	 
  0.33 	  4067.53 	  4103.18 	   128.41 	   111.43 	    13.36 	    13.57 	 
  0.36 	  4067.61 	  4192.38 	   132.49 	   115.15 	    15.56 	    15.43 	 
  1.85 	  4096.60 	    63.54 	   109.37 	   105.17 	     6.89 	    10.70 	 
  2.66 	  4104.50 	    64.17 	   114.22 	   107.99 	     8.67 	    12.03 	 
  3.47 	  4159.88 	    64.72 	   117.26 	   112.75 	    10.03 	    13.83 	 
  4.29 	  4091.45 	    64.53 	   114.67 	   115.23 	    11.70 	    15.78 	 
  5.10 	  4082.93 	    64.25 	   113.81 	   120.61 	    14.12 	    18.56 	 
  5.90 	  4170.06 	    64.72 	   120.30 	   131.78 	    18.63 	    23.25 	 
  6.71 	  4081.74 	    64.23 	   118.84 	   139.67 	    23.89 	    28.10 	 
  7.52 	  4141.74 	    64.52 	   135.43 	   163.68 	    41.23 	    39.49 	 
  0.15 	    59.42 	   975.50 	    14.84 	    14.83 	     7.00 	     6.84 	 
  1.65 	    65.42 	  1018.06 	    21.56 	    16.12 	     7.81 	     7.43 	 
  3.15 	    65.10 	  1040.90 	    21.69 	    17.59 	     8.57 	     8.16 	 
  4.63 	    64.02 	  1026.68 	    23.24 	    19.14 	     9.35 	     8.95 	 
  6.10 	    64.45 	  1022.43 	    25.56 	    21.10 	    10.38 	     9.92 	 
  7.58 	    64.42 	  1028.75 	    28.51 	    23.71 	    11.67 	    11.23 	 
  9.02 	    64.81 	  1029.86 	    32.89 	    26.94 	    13.31 	    12.84 	 
 10.36 	    64.18 	  1023.54 	    39.02 	    30.51 	    15.71 	    14.63 	 
  0.60 	    62.95 	   253.69 	    14.96 	    14.85 	     6.57 	     6.80 	 
  8.12 	    64.45 	   256.89 	    18.42 	    15.90 	     7.27 	     7.31 	 
 15.64 	    64.60 	   257.86 	    19.44 	    17.09 	     7.72 	     7.90 	 
 23.16 	    64.40 	   257.44 	    21.13 	    18.46 	     8.46 	     8.59 	 
 30.63 	    64.56 	   257.29 	    23.40 	    20.09 	     9.43 	     9.41 	 
 38.13 	    64.51 	   257.52 	    26.33 	    22.09 	    10.66 	    10.40 	 
 45.55 	    64.55 	   257.39 	    31.27 	    24.51 	    12.45 	    11.62 	 
 52.95 	    64.50 	   257.28 	    39.83 	    27.57 	    16.40 	    13.14 	 
  0.03 	    51.45 	  4410.27 	    18.87 	    15.02 	     6.68 	     7.10 	 
  0.17 	    65.58 	  3997.07 	    26.51 	    16.28 	     7.35 	     7.58 	 
  0.31 	    64.29 	  4057.06 	    27.21 	    17.57 	     8.24 	     8.24 	 
  0.46 	    66.22 	  4195.52 	    30.93 	    19.52 	     9.19 	     9.19 	 
  0.58 	    64.88 	  4214.90 	    31.81 	    21.34 	    10.33 	    10.12 	 
  0.70 	    64.85 	  4017.51 	    32.00 	    22.29 	    11.07 	    10.59 	 
  0.81 	    64.45 	  4110.23 	    34.29 	    24.92 	    12.69 	    11.91 	 
  0.92 	    62.67 	  4001.40 	    34.22 	    26.33 	    13.71 	    12.63 	 
  2.26 	    64.52 	    63.16 	    13.68 	    14.91 	     6.89 	     6.82 	 
 27.16 	    64.47 	    64.46 	    18.05 	    16.02 	     7.52 	     7.37 	 
 52.06 	    64.54 	    64.42 	    19.08 	    17.33 	     8.07 	     8.03 	 
 76.95 	    64.46 	    64.39 	    20.47 	    18.89 	     8.69 	     8.81 	 
101.85 	    64.53 	    64.43 	    22.01 	    20.79 	     9.39 	     9.76 	 
126.73 	    64.50 	    64.40 	    24.37 	    23.14 	    10.35 	    10.93 	 
151.83 	    64.48 	    64.43 	    28.43 	    26.16 	    12.17 	    12.44 	 
176.50 	    64.56 	    64.48 	    40.56 	    30.11 	    17.53 	    14.42 	 
Optimization completed successfully!
-------------------------------
Name of data set: GuideLLM multiple data sets
Number of data points: 128
Initial parameters: {"alpha":6.7,"beta":0.024,"gamma":0.000048}
Estimated parameters:
{"OptimizedParms":{"alpha":6.700177248840041,"beta":0.020835481188915865,"gamma":0.00004914414790167073},"AnalysisResults":{"avgErrTTFT":7.257161945104599,"avgErrITL":0.8816840225616452,"avgErrWeighted":3.0068433300759634}}
Summary: alpha: 6.700177, beta: 0.020835481, gamma: 0.000049144148, errTTFT: 7.257162, errITL: 0.881684, errWeightedAvg: 3.006843
